Common Name,Date of Occurance,Date of Examination,County,City,Location Details,Latitude,Longitude,Type of Occurance,Initial Condition,Initial Disposition,Sex,Age,Length,Length Units,Weight,Weight Units,Stranding Remarks,Material Disposition,Final Disposition Remarks
HARBOR SEAL,1/2/83,1/2/83,SANTA BARBARA,CARPINTERIA,CARPINTERIA STATE BEACH,,,HAUL OUT-RELATED,ALIVE,RELOCATED,M,PUP,24,IN,,,ANIMAL APPARENTLY HEALTHY; RETURNED TO SEA AND ANIMAL SWAM TOWARD ARCO ISLAND,,RETURNED TO SEA
NORTHERN ELEPHANT SEAL,1/2/83,,SANTA BARBARA,GAVIOTA,ARROYO QUEMADA BEACH NEAR TAJIGUAS,342830,1200815,POACHING-RELATED,FRESH DEAD,SPECIMEN TO SCIENTIFIC COLLECTION,F,UNKNOWN,,,,,BLUDGEONED WITH AXE; SKINNED; GUTTED & HUNG FOR MEAT; NECROPSY REQUESTED BY CALIFORNIA FISH & GAME DEPARTMENT,SKULL TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,1/6/83,,SANTA BARBARA,SANTA BARBARA,LAUNCH RAMP IN SANTA BARBARA HARBOR,342425,1194115,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,35,IN,25,LB,THIN; APPROACHING PEOPLE AT SPORTFISH LANDING,,RELEASED AT SANTA CRUZ ISLAND
CALIFORNIA SEA LION,1/25/83,1/25/83,SANTA BARBARA,SANTA BARBARA,HOPE RANCH BEACH,342500,1194700,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP,35,IN,24,LB,TAGS PRESENT AT STRANDING,,RELEASED AT SANTA BARBARA ISLAND
CALIFORNIA SEA LION,1/25/83,1/25/83,SANTA BARBARA,,,,,UNKNOWN,ALIVE,TAKEN TO REHAB CENTER,U,UNKNOWN,,,,,,,MORRO BAY AQUARIUM
CALIFORNIA SEA LION,2/2/83,,SANTA BARBARA,SANTA BARBARA,"PALM PARK, EAST BEACH",342500,1194100,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,39,IN,35,LB,SAME ANIMAL AS SID 8302136,,RELEASED AT ANACAPA ISLAND
HARBOR SEAL,2/6/83,,SANTA BARBARA,GOLETA,ELLWOOD BEACH,342530,1195400,HAUL OUT-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP,,,,,PUP WASHED AWAY FROM ROOKERY; RETURNED TO ROOKERY SAME DAY AS IT WAS PICKED UP,,RELOCATED & RELEASED AT ELEPHANT SEAL ROOKERY AT ELWOOD BEACH
CALIFORNIA SEA LION,2/9/83,,SANTA BARBARA,SANTA BARBARA,"NAVY PIER, SANTA BARBARA HARBOR",342425,1194115,HAUL OUT-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,UNKNOWN,,,,,TAME ANIMAL; POSSIBLY A RESTRANDING; NO TAGS PRESENT,,UNKNOWN
CALIFORNIA SEA LION,2/9/83,,SANTA BARBARA,SANTA BARBARA,EAST BEACH,342500,1194100,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,40,IN,31,LB,RELEASED AT UNKNOWN LOCATION,,RELEASED
CALIFORNIA SEA LION,2/19/83,,SANTA BARBARA,ISLA VISTA,EMBARCADERO,342500,1195300,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,UNKNOWN,33,IN,18,LB,"TAGGED 8/08/82 AT SAN NICOLAS ISLAND, WEIGHT 27 POUNDS AT TIME OF TAGGING; WEIGHT 18 POUNDS AT TIME OF STRANDING",,DIED AT SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,2/24/83,,SANTA BARBARA,GOLETA,"CAMPUS POINT, UC SANTA BARBARA",342500,1195200,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,41,IN,34,LB,,SKULL TO SANTA BARBARA CITY COLLEGE (DOC-5132-F/SWR),DIED AT SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,2/27/83,,SANTA BARBARA,GOLETA,,342500,1195000,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP,35,IN,29,LB,,,DIED AT SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,3/5/83,,SANTA BARBARA,SANTA BARBARA,SANTA BARBARA HARBOR,342425,1194115,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,36,IN,34,LB,BROUGHT TO WHITE'S PET HOSPITAL FOR SURGERY ON HINDFLIPPER,,RELEASED AT SANTA CRUZ ISLAND
HARBOR SEAL,3/5/83,,SANTA BARBARA,GOLETA,"DRIFTWOOD COVE, WEST OF ELLWOOD PIER",342600,1195500,NATURAL ABANDONMENT,ALIVE,TAKEN TO REHAB CENTER,M,PUP,27,IN,20,LB,ABANDONED PUP,,DIED AT SANTA BARBARA MARINE MAMMAL CENTER
NORTHERN ELEPHANT SEAL,3/10/83,,SANTA BARBARA,SANTA BARBARA,BELOW ONE THOUSAND STEPS,342500,1194100,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP,53,IN,60,LB,BROUGHT TO WHITE'S PET HOSPITAL FOR SURGERY; BROKEN BONES; DEEP WOUNDS,,DIED AT SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,3/12/83,,SANTA BARBARA,GOLETA,GOLETA BEACH COUNTY PARK,342500,1195000,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP,38,IN,27,LB,,,DIED AT SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,3/14/83,,SANTA BARBARA,GOLETA,GOLETA BEACH COUNTY PARK,342500,1195000,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP,31,IN,23,LB,TRANSPORTED BY NATIONAL PARK SERVICE TO ANACAPA ISLAND FOR RELEASE,,RELEASED AT ANACAPA ISLAND
HARBOR SEAL,3/16/83,,SANTA BARBARA,CARPINTERIA,,342330,1193100,NATURAL ABANDONMENT,ALIVE,TAKEN TO REHAB CENTER,F,PUP,27,IN,8,LB,ABANDONED PUP,,DIED AT SANTA BARBARA MARINE MAMMAL CENTER
PACIFIC WHITE-SIDED DOLPHIN,3/22/83,,SANTA BARBARA,GOLETA,GOLETA BEACH COUNTY PARK,342500,1195000,UNKNOWN,FRESH DEAD,SPECIMEN TO SCIENTIFIC COLLECTION,F,SUBADULT,148,CM,31.3,KG,,"SKULL, STOMACH CONTENTS; UNKNOWN ORGAN SAMPLES TO SANTA BARBARA MUSEUM OF NATURAL HISTORY",SANTA BARBARA MUSEUM OF NATURAL HISTORY
HARBOR PORPOISE,3/22/83,,SANTA BARBARA,GOLETA,"BEACH NEAR MARINE LABORATORY, CAMPUS POINT, UC SANTA BARBARA",342500,1195200,UNKNOWN,MODERATE DECOMPOSITION,SPECIMEN TO SCIENTIFIC COLLECTION,F,ADULT,177,CM,48,KG,LACTATING FEMALE,STOMACH CONTENTS; MAMMARY; GONADS & COMPLETE SKELETON TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,3/26/83,,SANTA BARBARA,SANTA BARBARA,SHORELINE PARK,342400,1194200,ILLNESS/INJURY-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,UNKNOWN,38,IN,26,LB,,,RELEASED AT SANTA CRUZ ISLAND
CALIFORNIA SEA LION,4/2/83,,SANTA BARBARA,SANTA BARBARA,"BREAKWATER, SANTA BARBARA HARBOR",342420,1194120,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,UNKNOWN,40,IN,34,LB,PNEUMONIA RIGHT LUNG,,RELEASED AT ANACAPA ISLAND
CALIFORNIA SEA LION,4/10/83,,SANTA BARBARA,,REFUGIO STATE BEACH,342745,1200400,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,39,IN,33,LB,SEVERE CONGESTION IN BOTH LUNGS,,DIED AT SANTA BARBARA MUSEUM OF NATURAL HISTORY
CALIFORNIA SEA LION,4/14/83,,SANTA BARBARA,SANTA BARBARA,ARROYO BURRO BEACH COUNTY PARK,342345,1194400,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,M,PUP,36,IN,26,LB,SEVERE PNEUMONIA,,DIED AT SANTA BARBARA MARINE MAMMAL CENTER
CALIFORNIA SEA LION,4/16/83,,SANTA BARBARA,SANTA BARBARA,STEARNS WHARF,342435,1194105,ILLNESS-RELATED,ALIVE,TAKEN TO REHAB CENTER,F,PUP,41,IN,44,LB,ANIMAL CAUSING DISTURBANCE IN PUBLIC AREA,,RELEASED AT SANTA CRUZ ISLAND
