Common Name,County,City,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Units,Longitude Actual/Estimate,How lat/long determined,Restrand,Group Event Flag,Group Type: UME,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,SW Fishery Type,Other Human Interaction,Other Human Int Description,SW Other Human Int Type,How Determined: External Exam,How Determined: Internal Exam,How Determined: Necropsy,How Determined: Other,How Determined: Describe,Other Findings upon Level Y/N,Other Findings - Illness,Other Findings - Injury,Other Findings - Pregnant,Other Findings - Other,Other Findings - Descibe,SW Other Findings Type,Observation Date,How Observed,Observation Status,Date of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated,Disentangled,Euthanized at Site,Died at Site,Transfer to Rehab,Date of Initial Disposition,Rehab Facility Name,Died During Transport,Euthanized During Transport,Other,Other Describe,Sick,Injured,Out of Habitat,Deemed Healthy/Releasable,Abandoned/Orphaned,Inaccesible,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD,Condition Other,Condition Other Description,Condition Comments,Sex,Age Class,Whole Carcass,Partial Carcass,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Carcass Left at Site,Carcass Buried,Carcass Rendered,Carcass Towed,Carcass Sunk,Carcass Sunk Lattitude,Carcass Sunk Longitude,Carcass Frozen for Later Exam,Carcass Landfill,Carcass Unknown,Carcass Other,Carcass Other Description,Other Collection Comments,Necropsied,Necropsy Limited Flag,Date of Necropsy,Additional Remarks
"Cetacean, unidentified",Santa Barbara,Santa Barbara,Northeast of Scorpion Ranch on the shore.,34.049428,decimal degrees,estimate,-119.55652,decimal degrees,estimate,Other,,,,CBD,,,,,,,,,,,,,,,,,,,,12/31/19,Beach or Land,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,UNKNOWN,Y,,,,notMeasured,,,notMeasured,,,,,,,,,,,Y,,,N,,,Observed by iNaturalist user: gabrielmw
"Cetacean, unidentified",Santa Barbara,,,,decimal degrees,,,decimal degrees,,,,,,CBD,,,,,,,,,,,,,,,,,,,,5/17/20,,Condition Unknown,5/17/20,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,UNKNOWN,,,,,notMeasured,,,notMeasured,,,,,,,,,,,,,,N,,,Reporting party never called back to confirm animal or location.
"Cetacean, unidentified",Santa Barbara,Carpinteria,Tar Pits,34.4246962,decimal degrees,estimate,-119.8930898,decimal degrees,estimate,Map,,,,CBD,,,,,,,,,,,,,,,,,,,,5/17/19,Beach or Land,Advanced Decomposition,5/17/19,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,Y,,,,notMeasured,,,notMeasured,Y,,,,,,,,,,,,,N,,,
"Cetacean, unidentified",Santa Barbara,,,,decimal degrees,,,decimal degrees,,,,,,CBD,,,,,,,,,,,,,,,,,,,,5/22/20,,Condition Unknown,5/22/20,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,notMeasured,,,notMeasured,,,,,,,,,,,,,,N,,,RP never called back to confirm animal
"Dolphin, bottlenose",Santa Barbara,Carpinteria,,34.395315,decimal degrees,actual,-119.540651,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,N,N,N,N,,N,N,N,N,N,,,9/4/16,Floating,Alive,,,N,N,N,Y,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,Y,entangled,disentangled and released,MALE,PUP/CALF,N,N,40,in,estimate,60,lb,estimate,N,N,N,N,N,,,N,N,N,N,,,NA,,,
"Dolphin, bottlenose",Santa Barbara,Santa Barbara,Leadbetter Beach to the right of the restaurant.,34.4042444,decimal degrees,actual,-119.7511472,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,3/25/19,Beach or Land,Advanced Decomposition,3/25/19,Advanced Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,,Y,,332,cm,actual,,,notMeasured,Y,,,,,,,,,,,,,Y,complete,3/25/19,Animal resighting on 7 June 2019 same beach.
"Dolphin, common, long-beaked",Santa Barbara,Santa Barbara,"Leadbetter Beach, base of hill just west of apartments",34.44037,decimal degrees,actual,-119.71546,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,,,,,,N,N,N,,Y,Shark bite 37 x 20 cm,,1/3/07,Beach or Land,Moderate Decomposition,1/3/07,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,FEMALE,ADULT,,,182,cm,actual,,,,Y,N,N,N,N,,,N,N,N,N,,,N,,,
"Dolphin, common, long-beaked",Santa Barbara,Carpinteria,RINCON BEACH COUNTY PARK AT MOUTH OF RINCON CREEK,34.3736,decimal degrees,estimate,-119.4767,decimal degrees,estimate,Internet,N,N,N,CBD,N,N,N,,N,,,,,,,EXTERNAL EXAMINATION,CBD,N,N,,N,,,4/27/07,Beach or Land,Moderate Decomposition,4/27/07,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,ADULT,,,232,cm,estimate,,,,N,Y,N,N,N,,,N,N,N,N,,,N,,,
"Dolphin, common, long-beaked",Santa Barbara,GOLETA,"GOLETA BEACH, 200 YARDS NORTH OF RESTAURANT",34.416787,decimal degrees,actual,-119.829207,decimal degrees,actual,GPS,N,N,N,CBD,N,N,N,,N,,,Y,N,N,N,,N,N,N,N,N,,,2/29/08,Beach or Land,Fresh Dead,2/29/08,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,N,N,228,cm,actual,,,,Y,N,N,N,N,,,N,N,N,N,,SERUM; BLUBBER; FECES; LIVER; SKIN AND STOMACH CONTENTS TO SANTA BARABARA MUSEUM OF NATURAL HISTORY,Y,limited,2/29/08,ANIMAL SEEN SWIMMING NEAR PIET AT 10 AM; OBSERVER REPORTED ANIMAL TO BE FEEDING ON PIER PILINGS; LARGE BURDEN OF PARASITE INDUCE GRANULOMAS SEEN THROUGHOUT THE LIVER
"Dolphin, common, long-beaked",Santa Barbara,SANTA BARBARA,BEACH IN FRONT OF BILTMORE FOUR SEASONS HOTEL,35.41663,decimal degrees,actual,-119.6433,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,Y,Y,N,N,N,,,4/8/08,Beach or Land,Alive,4/8/08,Fresh Dead,N,N,N,N,N,Y,N,,,N,N,N,,Y,N,N,N,N,N,N,N,N,N,,ANIMAL STRANDED ALIVE AND PUSHED BACK INTO OCEAN EVENING OF 4/8; ANIMAL RESTRANDED ALIVE THE MORNING OF 4/9 BUT DIED SHORTLY AFTER THIS,MALE,ADULT,N,N,205.7,cm,actual,255,lb,actual,N,N,N,N,N,,,N,N,N,N,,SKULL; SKIN; FULL SUITE OF TISSUES AND ENDOPARASITES TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,Y,complete,4/9/08,
"Dolphin, common, long-beaked",Santa Barbara,GOLETA,"COAL OIL POINT, SANDS BEACH",34.407748,decimal degrees,estimate,-119.879573,decimal degrees,estimate,Internet,N,N,N,NO,N,N,N,,N,,,Y,N,N,N,,,N,N,N,N,,,10/19/08,Beach or Land,Fresh Dead,10/21/08,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,FEMALE,ADULT,Y,N,202.4,cm,actual,160,lb,actual,N,N,N,N,N,,,N,Y,N,N,,,Y,complete,10/21/08,
"Dolphin, common, long-beaked",Santa Barbara,Montecito,RINCON BEACH COUNTY PARK,34.37338,decimal degrees,actual,-119.47857,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,N,N,N,N,N,,,3/22/09,Beach or Land,Fresh Dead,3/24/09,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,Y,N,225,cm,actual,,,,Y,N,N,N,N,,,N,N,N,N,,,Y,limited,3/24/09,
"Dolphin, common, long-beaked",Santa Barbara,SUMMERLAND,LOOKOUT POINT,34.41594,decimal degrees,actual,-119.5864,decimal degrees,actual,GPS,N,N,N,CBD,N,N,N,,N,,,Y,N,N,N,,N,N,N,N,N,,,4/22/10,Beach or Land,Moderate Decomposition,4/22/10,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,Y,N,233,cm,actual,,,,Y,N,N,N,N,,,N,N,N,N,,,Y,limited,4/22/09,
"Dolphin, common, long-beaked",Santa Barbara,Santa Barbara,Rincon,,decimal degrees,,,decimal degrees,,,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,N,N,N,N,N,,,7/31/10,Beach or Land,Fresh Dead,8/4/10,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,Y,N,220,cm,actual,204,lb,actual,N,N,N,N,N,,,N,Y,N,N,,CARCASS TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,Y,complete,8/4/10,
"Dolphin, common, long-beaked",Santa Barbara,Carpinteria,Carpinteria State Beach,34.394553,decimal degrees,estimate,-119.53006,decimal degrees,estimate,Map,N,N,N,N,N,N,N,,N,,,Y,N,N,N,,N,N,N,N,N,,,8/2/10,Beach or Land,Fresh Dead,8/2/10,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,Y,N,240,cm,actual,242,lb,actual,N,N,N,N,N,,,N,Y,N,N,,CARCASS TO SANTA BARBARA MUSEUM OF NATURAL HISTORY,Y,complete,8/2/10,
"Dolphin, common, long-beaked",Santa Barbara,Rincon,Rincon Beach County Park,34.37606,decimal degrees,actual,-119.4804,decimal degrees,actual,GPS,N,N,N,CBD,N,N,N,,N,,,N,N,N,N,,,N,N,N,N,,,6/8/11,Beach or Land,Moderate Decomposition,6/8/11,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,Y,N,225,cm,actual,,,,Y,N,N,N,N,,,N,N,N,N,,,Y,limited,6/8/11,
"Dolphin, common, long-beaked",Santa Barbara,Summerland,Summerland Beach,34.4186,decimal degrees,actual,-119.5988,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,N,N,N,N,,,N,N,N,N,,,10/11/11,Beach or Land,Alive,10/12/11,Fresh Dead,N,N,N,N,N,Y,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,Y,N,245,cm,actual,262,lb,actual,N,N,N,N,N,,,N,Y,N,N,,,Y,complete,10/13/11,
"Dolphin, common, long-beaked",Santa Barbara,Summerland,"Padaro Beach Access, Lookout Point",34.415,decimal degrees,estimate,-119.584,decimal degrees,estimate,Map,N,N,N,CBD,N,N,N,,N,,,N,N,N,N,,,N,N,N,N,,,3/4/12,Beach or Land,Advanced Decomposition,,,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,UNKNOWN,ADULT,N,N,1,cm,estimate,,,,Y,N,N,N,N,,,N,N,N,N,,,N,,,
"Dolphin, common, long-beaked",Santa Barbara,Santa Barbara,Arroyo Burro Beach,34.403,decimal degrees,estimate,-119.744,decimal degrees,estimate,Map,N,N,N,N,N,N,N,,N,,,N,N,N,N,,,N,N,N,N,,,5/1/13,Beach or Land,Alive,5/1/13,Fresh Dead,N,N,N,N,N,Y,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,Y,N,225,cm,actual,250,lb,actual,N,N,N,N,N,,,N,Y,N,N,,,Y,complete,5/1/13,
"Dolphin, common, long-beaked",Santa Barbara,Montecito,Butterfly Beach,34.416,decimal degrees,actual,-119.669,decimal degrees,,Map,N,N,N,CBD,N,N,N,,N,,,N,N,N,N,,,N,N,N,N,,,7/10/13,Beach or Land,Fresh Dead,7/11/13,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,Y,N,229,cm,actual,268,lb,actual,N,N,N,N,N,,,N,Y,N,N,,,Y,complete,7/11/13,
"Dolphin, common, long-beaked",Santa Barbara,Santa Barbara,Leadbetter Beach,34.401,decimal degrees,estimate,-119.698,decimal degrees,estimate,Map,N,N,N,Y,N,N,Y,,N,,,Y,N,N,N,,Y,Y,N,N,N,,,7/28/13,Beach or Land,Fresh Dead,7/29/13,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,Y,N,228,cm,actual,212,lb,actual,N,N,N,N,N,,,N,Y,N,N,,,Y,complete,7/29/13,
"Dolphin, common, long-beaked",Santa Barbara,Montecito,Rincon @ base of stairs,34.37536,decimal degrees,actual,-119.47994,decimal degrees,actual,GPS,N,N,N,CBD,N,N,N,,N,,,N,N,N,N,,,N,N,N,N,,,2/24/14,Beach or Land,Fresh Dead,2/24/14,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,N,N,211,cm,actual,,,,Y,N,N,N,N,,,N,N,N,N,,,Y,limited,2/24/14,
"Dolphin, common, long-beaked",Santa Barbara,Santa Barbara,Ledbetter beach,34.37536,decimal degrees,actual,-119.47995,decimal degrees,actual,GPS,N,N,N,CBD,N,N,N,,N,,,N,N,N,N,,Y,N,Y,N,N,shark bite,,3/4/14,Beach or Land,Mummified/Skeletal,3/4/14,Mummified/Skeletal,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,Y,N,220,cm,estimate,,,,Y,N,N,N,N,,,N,N,N,N,,,N,,,
"Dolphin, common, long-beaked",Santa Barbara,SANTA BARBARA,SANTA BARBARA HARBOR,34.407148,decimal degrees,,-119.688411,decimal degrees,,,N,Y,Y,CBD,N,N,N,,N,,,N,N,N,N,,Y,N,N,Y,N,,,5/22/15,Beach or Land,Fresh Dead,5/22/15,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,FEMALE,ADULT,Y,N,199,cm,actual,125,kg,actual,N,N,Y,N,N,,,N,N,N,N,,SEE PAGE 2,Y,complete,5/23/15,"ANIMAL COLLECTED AS PART OF REFUGIO BEACH OIL SPILL RESPONSE. IN ADDITION TO STANDARD SEAWORLD NECROPSY SAMPLES TAKEN, OILED WILDLIFE CARE NETWORK NECROPSY SAMPLE COLLECTING PROTOCOLS WERE FOLLOWED. NO EXTERNAL OILING SEEN. LATE TERM MALE FETUS FOUND DURING NECROPSY, LENGTH - 80 CENTIMETERS, WEIGHT - 5.04 KILOGRAMS. DECOMPOSITION CODE: 2-FRESH LOG NUMBER: D-0001 FPI-D-05/22/2015-1"
"Dolphin, common, long-beaked",Santa Barbara,CARPENTERIA,SANDY POINT,34.399154,decimal degrees,actual,-119.540442,decimal degrees,actual,GPS,N,Y,Y,CBD,N,N,N,,N,,,N,N,N,N,,N,N,N,N,N,,,6/7/15,Beach or Land,Moderate Decomposition,6/7/15,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,Y,N,218.4,cm,actual,102,kg,actual,N,N,Y,N,N,,,N,N,N,N,,"SEE PAGE 2 GROSS NECROPSY FINDINGS: PARALLEL LACERATIONS ""FISHERY INTERACTION""",Y,complete,6/9/15,"ANIMAL COLLECTED AS PART OF REFUGIO BEACH OIL SPILL RESPONSE. IN ADDITION TO STANDARD SEAWORLD NECROPSY SAMPLES TAKEN, OILED WILDLIFE CARE NETWORK NECROPSY SAMPLE COLLECTING PROTOCOLS WERE FOLLOWED. NO EXTERNAL OILING SEEN. MULTIPLE LACERATIONS SEEN ON BODY THAT INDICATE POSSIBLE FISHERY INTERACTION. DECOMPOSITION CODE: 3-FAIR LOG NUMBER: D-0090 WRM1-D-6/7/2015-3"
"Dolphin, common, long-beaked",Santa Barbara,Montecito,Fernald Point,34.41865,decimal degrees,actual,-119.6209,decimal degrees,actual,GPS,N,N,N,Y,N,N,Y,,N,,,Y,N,N,N,,N,N,N,N,N,,,1/6/17,Beach or Land,Moderate Decomposition,1/6/17,Moderate Decomposition,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,N,Y,185,cm,actual,,,,Y,N,N,N,N,,,N,N,N,N,,,Y,limited,1/6/17,Fluke cleanly amputated at peduncle.
"Dolphin, common, long-beaked",Santa Barbara,Carpinteria,Carpinteria State Beach,34.387943,decimal degrees,actual,-119.515895,decimal degrees,actual,GPS,N,N,N,N,N,N,N,,N,,,N,N,N,N,,,N,N,N,N,,,4/20/17,Beach or Land,Fresh Dead,4/20/17,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,Y,N,212,cm,actual,,,,N,Y,N,N,N,,,N,N,N,N,,,N,,,
"Dolphin, common, long-beaked",Santa Barbara,Carpinteria,,34.391,decimal degrees,estimate,-119.521,decimal degrees,estimate,Map,N,N,N,N,N,N,N,,N,,,N,N,N,N,,,N,N,N,N,,,4/29/17,,Fresh Dead,4/29/17,Fresh Dead,N,N,N,N,N,N,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,,,MALE,ADULT,Y,N,210,cm,actual,,,,N,N,N,N,N,,,N,Y,N,N,,,Y,complete,4/29/17,
"Dolphin, common, long-beaked",Santa Barbara,Rincon,1/4 mi south of harbor seal rookery,34.385115,decimal degrees,actual,-119.501424,decimal degrees,actual,GPS,,,,CBD,,,,,,,,,,,,,,,,,,,,7/5/18,Beach or Land,Fresh Dead,7/5/18,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,Y,,203,cm,actual,,,,Y,,,,,,,,,,,,,N,,,
"Dolphin, common, long-beaked",Santa Barbara,Santa Barbara,Between Goleta Beach and UCSB Campus Point.,34.412168,decimal degrees,actual,-119.84144,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,1/16/19,Beach or Land,Fresh Dead,1/16/19,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,ADULT,,,190,cm,actual,,,notMeasured,Y,,,,,,,,,,,,,Y,limited,1/16/19,
"Dolphin, common, long-beaked",Santa Barbara,Santa Cruz Island,1 - 1.5 miles offshore Smuggler's Cove,34.0193,decimal degrees,actual,-119.5242,decimal degrees,actual,Internet,,,,Y,,,Y,,,,,,,,,,CBD,,,,,,,6/16/19,Floating,Fresh Dead,6/16/19,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,ADULT,Y,,240,cm,estimate,,,,Y,,,,,,,,,,,,,N,,,Level A data collated through phone conversation and photos sent by reporting mariner. Flukes cut off and linear impressions around mandible.
"Dolphin, common, long-beaked",Santa Barbara,Santa Barbara,Butterfly beach,34.4170611,decimal degrees,actual,-119.6533056,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,3/7/20,Beach or Land,Fresh Dead,3/7/20,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,ADULT,Y,,207.26,cm,actual,,,notMeasured,Y,,,,,,,,,,,,,Y,complete,3/7/20,
"Dolphin, common, long-beaked",Santa Barbara,Santa Barbara,Rincon Beach,34.384907,decimal degrees,estimate,-119.501565,decimal degrees,,Map,,,,Y,,,Y,Unknown Fishery,,,,,,,,,,,,,,,,5/3/20,Beach or Land,Moderate Decomposition,5/3/20,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,ADULT,,Y,,,notMeasured,,,notMeasured,Y,,,,,,,,,,,,,N,,,animal had fluke cut off and other indications of fisheries interaction.
"Dolphin, common, long-beaked",Santa Barbara,Carpinteria,Carpinteria Tar Pits,34.385834,decimal degrees,estimate,-119.509022,decimal degrees,estimate,,,,,Y,,,Y,,,,,,,,,,,,,,,,,5/18/20,Beach or Land,Moderate Decomposition,5/18/20,Moderate Decomposition,,,,,,,,,,,,,,,,,,,,,,,,,,MALE,ADULT,,Y,,,notMeasured,,,notMeasured,,,,,,,,,,,,,,N,,,fluke cut off possible fisheries interaction
"Dolphin, common, long-beaked",Santa Barbara,Santa Barbara,East Mesa Beach,34.3960602,decimal degrees,actual,-119.7200842,decimal degrees,actual,GPS,,,,N,,,,,,,,,,,,,,,,,,,,6/6/20,Beach or Land,Fresh Dead,6/6/20,Fresh Dead,,,,,,,,,,,,,,,,,,,,,,,,,,FEMALE,ADULT,,,73,in,estimate,,,notMeasured,Y,,,,,,,,,,,,,N,,,
