Source,Paper Title,Author,Year,Empirical Data?,Subsidy Category,Resource Subsidy,Vector (taxon or phenomenon) Group,Specific Vector,Biotic or Abiotic?,Recipient taxon or habitat,Subgroups Yes,Ecotone/Ecosystem Boundary,Climate Zone,Mediterannean Yes,Continent,Country,Lat/Lon,Experimental Component Yes,Start Year,End Year,Your Initials
Mulder,13N natural abundance in soil plant-systems,"Hogberg, P.",1997,Cannot access full paper,,,,,,,,,,,,,,,,,
MacInturf,A methodological roadmap to quantify animal-vectored spatial ecosystem subsidies,Ellis Soto et al.,2020,No,,,,,,,,,,,,,,,,,
Subalusky,A seasonal feast: long-term analysis of feeding behaviour in the spotted hyaena (Crocuta crocuta),Cooper et al.,1999,Yes,,Migratory wildebeest and zebra prey,Mammal,Wildebeest and zebra,Biotic,Hyena (Crocuta crocuta),No,Terrestrial - Terrestrial,Temperate savannah,No,Africa,Kenya,"-1.37, 34.9",Yes,1988,1995,FL
Subalusky,"A Study of the Feeding Habits of the Hippopotamus (Hippopotamus Amphibius Linn.) in the Queen Elizabeth National Park, Uganda, With Some Management Implications",Field,1970,Yes,,No relation to subsidies (hippo feeding behavior),,,,,,,,,,,,,,,FL
Mulder,Above- and below-ground impacts of introduced predators on seabird dominated islands,"Fukami, T. et al",2006,Yes,seabird guano,"C,N,P",Sea Birds,Unspecified,Biotic,Rats,No,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-35.4862886,174.744502",No,2004,2004,KH
Seabird Chapter,Above-and below-ground impacts of introduced predators in seabird-dominated island and ecosystems,"Fukami, T. et al",2006,Yes,,Nutrients,Seabirds,Unspecified,Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-72.4167, 166.3667",No,2004,2004,KH
Seabird Chapter,Above-and below-ground impacts of introduced predators in seabird-dominated island and ecosystems,"Fukami, T. et al",2006,Yes,,Nutrients,Seabirds,Unspecified,Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-35.4719, 174.7356",No,2004,2004,
Seabird Chapter,Above-and below-ground impacts of introduced predators in seabird-dominated island and ecosystems,"Fukami, T. et al",2006,Yes,,Nutrients,Seabirds,Unspecified,Biotic,Soil,Yes,Marine - Terrestrial,Temperate,No,Oceania,New Zealand,"-44.7819, 6.8696",No,2004,2004,
Subalusky,Accelerated modern human–induced species losses: Entering the sixth mass extinction,Ceballos et al.,2015,No,,,,,,,,,,,,,,,,,FL
Mulder,Accumulation and use of nitrogen and phosphorus following fertilization in two alpine tundra communities,"Bowman, W.D.",1994,Yes,,N and P,Alpine tundra,Unspecified,Biotic,Soil,No,Terrestrial - Terrestrial,Temperate,No,North America,USA,"40.058333, -105.583333",Yes,1991,1991,KH
