title,author,year,empirical_data,subsidy_type,vector_type,vector,biotic_abiotic,recipient,subgroups,ecotone,climate_zone,mediterannean,continent,country,latlon,experimental,start,end,initials,,,,,,,,,,,,
"Unpubl data. Seabird spatial subsidies: Urban foraging and
nutrient deposition on coastal islands","Guerra AS, Bui A, Klope M, Orr D, Shaffer S, Young H",2021,Yes,guano,Aves,Western Gull (Larus occidentalis),Biotic,Santa Barbara Island,No,Marine - Terrestrial,Arid Islands,Yes,North America,United States of America,33.4765735/-119.0397887,N,2016,2020,AG,,,,,,,,,,,,
"Unpubl data. Seabird spatial subsidies: Urban foraging and
nutrient deposition on coastal islands","Guerra AS, Bui A, Klope M, Orr D, Shaffer S, Young H",2021,Yes,guano,Aves,Western Gull (Larus occidentalis),Biotic,Anacapa Island,No,Marine - Terrestrial,Mediterranean Islands,Yes,North America,United States of America,34.0044656/-119.4083151,N,2016,2020,AG,,,,,,,,,,,,
Are inland wolf-ungulate systems influenced by marine subsidies of Pacific salmon?,Adams et al.,2010,Yes,"Pacific salmon (N, C)",Fish,Pacific salmon,Biotic,Upland region wolves,Yes,Aquatic - Terrestrial,Subarctic,No,North America,United States,"63.1, -151.2",Yes,1986,2002,FL,,,,,,,,,,,,
Are inland wolf-ungulate systems influenced by marine subsidies of Pacific salmon?,Adams et al.,2010,Yes,"Pacific salmon (N, C)",Fish,Pacific salmon,Biotic,Northwestern flats wolves,No,Aquatic - Terrestrial,Subarctic,No,North America,United States,"63.1, -151.3",Yes,1986,2002,FL,,,,,,,,,,,,
Overfishing of Inland Waters,Allan et al.,2005,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Towards an integration of ecological stoichiometry and the metabolic theory of ecology to better understand nutrient cycling,Allen and Gillooly,2009,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Metabolic theory and taxonomic identity predict nutrient recycling in a diverse food web,Allgeier et al.,2015,Yes,N and P,Fish and macroinvertebrates,Hundreds of species,Biotic,N/A,No,Marine - Marine,Tropical savanna,No,North America,The Bahamas,"26.4, -77.1",Yes,2008,2011,FL,,,,,,,,,,,,
The discovery of a natural whale fall in the Antarctic deep sea,Amon et al.,2013,Yes,Whale carcass (lipids),Aquatic mammal,Antarctic minke whale,Biotic,Deep-sea floor,No,Marine - Marine,Deep sea,No,Atlantic Ocean,East Scotia Sea,"-59.7, -28.4",Yes,2010,<2013,FL,,,,,,,,,,,,
Nutrient fluxes from water to land: seabirds affect plant nutrient status on Gulf of California islands,Anderson and Polis,1998,Yes,Seabird guano (N and P),Bird,Several species of seabird,Biotic,Atriplex and Opuntia,Yes,Marine - Terrestrial,Desert,No,North America,Mexico,"28.92, -113.5",Yes,1995,<1998,FL,,,,,,,,,,,,
Nutrient fluxes from water to land: seabirds affect plant nutrient status on Gulf of California islands,Anderson and Polis,1998,Yes,Seabird guano (N and P),Bird,Several species of seabird,Biotic,Soil,,Marine - Terrestrial,Desert,No,North America,Mexico,"28.92, -113.6",Yes,1995,<1999,FL,,,,,,,,,,,,
Resources from Another Place and Time: Responses to Pulses in a Spatially Subsidized System,Anderson et al.,2008,Yes,Seabird guano (N and P),Bird,Several species of seabird,Biotic,Rodents,,Marine - Terrestrial,Desert,No,North America,Gulf of California,"26.7, -110.10",Yes,1990,2005,FL,,,,,,,,,,,,
Resources from Another Place and Time: Responses to Pulses in a Spatially Subsidized System,Anderson et al.,2008,Yes,Seabird guano (N and P),Bird,Several species of seabird,Biotic,Orb-web spiders,,Marine - Terrestrial,Desert,No,North America,Gulf of California,"26.7, -110.11",Yes,1990,2005,FL,,,,,,,,,,,,
Resources from Another Place and Time: Responses to Pulses in a Spatially Subsidized System,Anderson et al.,2008,Yes,Seabird guano (N and P),Bird,Several species of seabird,Biotic,Lizards,,Marine - Terrestrial,Desert,No,North America,Gulf of California,"26.7, -110.12",Yes,1990,2005,FL,,,,,,,,,,,,
Resources from Another Place and Time: Responses to Pulses in a Spatially Subsidized System,Anderson et al.,2008,Yes,Seabird guano (N and P),Bird,Several species of seabird,Biotic,Plants,Yes,Marine - Terrestrial,Desert,No,North America,Gulf of California,"26.7, -110.7",Yes,1990,2005,FL,,,,,,,,,,,,
Resources from Another Place and Time: Responses to Pulses in a Spatially Subsidized System,Anderson et al.,2008,Yes,Seabird guano (N and P),Bird,Several species of seabird,Biotic,Soil,,Marine - Terrestrial,Desert,No,North America,Gulf of California,"26.7, -110.8",Yes,1990,2005,FL,,,,,,,,,,,,
Resources from Another Place and Time: Responses to Pulses in a Spatially Subsidized System,Anderson et al.,2008,Yes,Seabird guano (N and P),Bird,Several species of seabird,Biotic,Herbivores,,Marine - Terrestrial,Desert,No,North America,Gulf of California,"26.7, -110.9",Yes,1990,2005,FL,,,,,,,,,,,,
Consumer-driven nutrient dynamics in freshwater ecosystems: from individuals to ecosystems,Atkinson et al.,2017,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Assessing the Causes of Late Pleistocene Extinctions on the Continents,Barnosky et al.,2004,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Migratory Animals Couple Biodiversity and Ecosystem Functioning Worldwide,Bauer and Hoye,2014,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Fish Invasion Restructures Stream and Forest Food Webs by Interrupting Reciprocal Prey Subsidies,Baxter et al.,2004,Yes,Emerging aquatic insect prey,Insect,Aquatic insects,Biotic,Riparian forest spiders,Yes,Freshwater - Terrestrial,Humid continental climate,No,Asia,Japan,"42.7, 141.6",Yes,2002,2002,FL,,,,,,,,,,,,
Fish Invasion Restructures Stream and Forest Food Webs by Interrupting Reciprocal Prey Subsidies,Baxter et al.,2004,Yes,Terrestrial prey,Terrestrial invertebrates,Terrestrial invertebrates,Biotic,Fish,,Terrestrial - Freshwater,Humid continental climate,No,Asia,Japan,"42.7, 141.7",Yes,2002,2002,FL,,,,,,,,,,,,
Tangled webs: reciprocal flows of invertebrate prey link streams and riparian zones,Baxter et al.,2005,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Carrion cycling in food webs: comparisons among terrestrial and marine ecosystems,Beasley et al.,2012,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
The response of stream periphyton to Pacific salmon: using a model to understand the role of environmental context,Bellmore et al.,2014,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Social Behavior and Ecosystem Processes: River Otter Latrines and Nutrient Dynamics of Terrestrial Vegetation,Ben-David et al.,1998,Yes,Otter scent marking (N),Mammal,River otters' scent marks,Biotic,Riparian plants,No,Freshwater - Terrestrial,Subarctic,No,North America,United States,"60.5, -147.7",Yes,1994,1996,FL,,,,,,,,,,,,
Species replacement by a nonnative salmonid alters ecosystem function by reducing prey subsidies that support riparian spiders,Benjamin et al.,2011,Yes,Emerging aquatic insect prey,Insect,Aquatic insects,Biotic,Riparian spiders,No,Freshwater - Terrestrial,"Temperate semiarid steppe, subalpine",No,North America,United States,"44.3, -109.8",Yes,2006,2006,FL,,,,,,,,,,,,
Faunal community structure of a chemoautotrophic assemblage on whale bones in the deep northeast Pacific Ocean,Bennett et al.,1994,Yes,Whale carcass,Aquatic mammal,Blue whale or fin whale,Biotic,Deep-sea floor,No,Marine - Marine,Deep sea,No,North America,United States,"33.2, -118.5",Yes,1987,1988,FL,,,,,,,,,,,,
The Last Mile: How to Sustain Long-Distance Migration in Mammals,Berger,2004,No,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
