common_name,age_class,sex,mean_weight_kg,source
BLUE WHALE,SUBADULT,M,88450.44,wikipedia average for adult male
BOTTLENOSE DOLPHIN,PUP/CALF,F,19.95805,seaworld
BOTTLENOSE DOLPHIN,UNKNOWN,F,350,wikipedia says 200-500kg
BOTTLENOSE DOLPHIN,UNKNOWN,U,350,wikipedia says 200-500kg
CALIFORNIA SEA LION,ADULT,F,100,"Perrin, W. F., Editor, Wursig, Bernd G., Editor, and Gale Group.ÊEncyclopedia of Marine Mammals. 2nd ed. Amsterdam: Academic, 2009. Gale Virtual Reference Library. Web."
CALIFORNIA SEA LION,ADULT,M,350,"Perrin, W. F., Editor, Wursig, Bernd G., Editor, and Gale Group.ÊEncyclopedia of Marine Mammals. 2nd ed. Amsterdam: Academic, 2009. Gale Virtual Reference Library. Web."
CALIFORNIA SEA LION,ADULT,U,225,averaged from M/F
CALIFORNIA SEA LION,PUP,F,33,extrapolated from male pup
CALIFORNIA SEA LION,PUP,M,33,
CALIFORNIA SEA LION,PUP,U,33,extrapolated from male pup
CALIFORNIA SEA LION,SUBADULT,F,NA,
CALIFORNIA SEA LION,SUBADULT,M,NA,
CALIFORNIA SEA LION,SUBADULT,U,NA,
CALIFORNIA SEA LION,UNKNOWN,F,55.88888889,all female weights averaged
CALIFORNIA SEA LION,UNKNOWN,M,NA,
CALIFORNIA SEA LION,UNKNOWN,U,NA,
CALIFORNIA SEA LION,YEARLING,F,34.66666667,
CALIFORNIA SEA LION,YEARLING,M,61.5,
CALIFORNIA SEA LION,YEARLING,U,48.08333333,averaged from M/F
"Cetacean, unidentified",UNKNOWN,UNKNOWN,NA,
"Cetacean, unidentified",NA,UNKNOWN,NA,
COMMON DOLPHIN,ADULT,M,NA,
COMMON DOLPHIN,CALF,M,NA,
COMMON DOLPHIN,UNKNOWN,F,175,
CUVIER'S BEAKED WHALE,UNKNOWN,M,NA,
DALL'S PORPOISE,UNKNOWN,F,148,
"Dolphin, bottlenose",NA,MALE,NA,
